State,UCIMove,Depth,Score
abc,qd2d4,3,20
def,qd2d4,3,20
ghi,ke1e2,4,20
lachkick,ke2e4,4,20
"bl{'bl': 3855, 'wh': 61680, 'q': 129, 'k': 33024, 'b': 9252, 'n': 6168, 'r': 16962}",ka2a3,4,-2
"wh{'bl': 2831, 'wh': 62688, 'q': 129, 'k': 33024, 'b': 8228, 'n': 7176, 'r': 16962}",kh2h3,3,-2
"wh{'bl': 3855, 'wh': 4223216, 'q': 129, 'k': 4194560, 'b': 9252, 'n': 6168, 'r': 16962}",kg3h3,3,-3
"wh{'bl': 3855, 'wh': 8417520, 'q': 129, 'k': 8388864, 'b': 9252, 'n': 6168, 'r': 16962}",kh3g4,3,-2
"wh{'bl': 3855, 'wh': 1102064, 'q': 129, 'k': 33024, 'b': 1049636, 'n': 6168, 'r': 16962}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 4247792, 'q': 129, 'k': 33024, 'b': 4195364, 'n': 6168, 'r': 16962}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 134271216, 'q': 129, 'k': 33024, 'b': 134218788, 'n': 6168, 'r': 16962}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 2147537136, 'q': 129, 'k': 33024, 'b': 2147484708, 'n': 6168, 'r': 16962}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 17179922672, 'q': 129, 'k': 33024, 'b': 17179870244, 'n': 6168, 'r': 16962}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 2199023309040, 'q': 129, 'k': 33024, 'b': 2199023256612, 'n': 6168, 'r': 16962}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 281474976764144, 'q': 129, 'k': 33024, 'b': 281474976711716, 'n': 6168, 'r': 16962}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 585952, 'q': 129, 'k': 33024, 'b': 9252, 'n': 530440, 'r': 16962}",kh2g3,2,9
"wh{'bl': 3855, 'wh': 2158816, 'q': 129, 'k': 33024, 'b': 9252, 'n': 2103304, 'r': 16962}",kh2g3,2,9
"wh{'bl': 3855, 'wh': 4251888, 'q': 129, 'k': 33024, 'b': 9252, 'n': 4196376, 'r': 16962}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 134275312, 'q': 129, 'k': 33024, 'b': 9252, 'n': 134219800, 'r': 16962}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 536928496, 'q': 129, 'k': 33024, 'b': 9252, 'n': 536872984, 'r': 16962}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 4239600, 'q': 129, 'k': 33024, 'b': 9252, 'n': 6168, 'r': 4194882}",kh2h3,3,-2
"wh{'bl': 3855, 'wh': 1073787120, 'q': 129, 'k': 33024, 'b': 9252, 'n': 6168, 'r': 1073742402}",kh2h3,3,-2
"wh{'bl': 3855, 'wh': 274877952240, 'q': 129, 'k': 33024, 'b': 9252, 'n': 6168, 'r': 274877907522}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 70368744222960, 'q': 129, 'k': 33024, 'b': 9252, 'n': 6168, 'r': 70368744178242}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 18014398509527280, 'q': 129, 'k': 33024, 'b': 9252, 'n': 6168, 'r': 18014398509482562}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 4611686018427433200, 'q': 129, 'k': 33024, 'b': 9252, 'n': 6168, 'r': 4611686018427388482}",ne1c2,2,9
"bl{'bl': 3343, 'wh': 61664, 'q': 129, 'k': 33024, 'b': 8228, 'n': 6152, 'r': 17474}",qa1c3,2,-2
"bl{'bl': 133647, 'wh': 62688, 'q': 129, 'k': 163840, 'b': 8228, 'n': 7176, 'r': 16962}",nd1f2,2,0
"bl{'bl': 11015, 'wh': 54496, 'q': 129, 'k': 33024, 'b': 36, 'n': 15360, 'r': 16962}",rb2c2,2,0
"bl{'bl': 69135, 'wh': 4223216, 'q': 129, 'k': 4259840, 'b': 9252, 'n': 6168, 'r': 16962}",nd1f2,2,-3
"bl{'bl': 133903, 'wh': 4223216, 'q': 129, 'k': 4194560, 'b': 139300, 'n': 6168, 'r': 16962}",nd1f2,2,-3
"bl{'bl': 12039, 'wh': 4215024, 'q': 129, 'k': 4194560, 'b': 1060, 'n': 14352, 'r': 16962}",ka2a3,2,-3
"bl{'bl': 132879, 'wh': 4223216, 'q': 129, 'k': 4194560, 'b': 9252, 'n': 135192, 'r': 16962}",nd1f2,2,-3
"bl{'bl': 69135, 'wh': 8417520, 'q': 129, 'k': 8454144, 'b': 9252, 'n': 6168, 'r': 16962}",nd2f1,2,0
"bl{'bl': 134671, 'wh': 8417520, 'q': 129, 'k': 8519680, 'b': 9252, 'n': 6168, 'r': 16962}",nd2f1,2,-2
"bl{'bl': 133903, 'wh': 8417520, 'q': 129, 'k': 8388864, 'b': 139300, 'n': 6168, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 265991, 'wh': 8417520, 'q': 129, 'k': 8388864, 'b': 9252, 'n': 268304, 'r': 16962}",nd2f1,2,-2
"bl{'bl': 1839, 'wh': 8417488, 'q': 129, 'k': 8388864, 'b': 9220, 'n': 4152, 'r': 16962}",ka2a3,2,-2
"bl{'bl': 69135, 'wh': 1102064, 'q': 129, 'k': 98304, 'b': 1049636, 'n': 6168, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 133903, 'wh': 1102064, 'q': 129, 'k': 33024, 'b': 1179684, 'n': 6168, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 12039, 'wh': 1102064, 'q': 129, 'k': 33024, 'b': 1049636, 'n': 14352, 'r': 16962}",ka2a3,2,-2
"bl{'bl': 132879, 'wh': 1102064, 'q': 129, 'k': 33024, 'b': 1049636, 'n': 135192, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 134415, 'wh': 1102064, 'q': 129, 'k': 33024, 'b': 1049636, 'n': 6168, 'r': 147522}",qa1b2,2,-2
"bl{'bl': 69135, 'wh': 4247792, 'q': 129, 'k': 98304, 'b': 4195364, 'n': 6168, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 133903, 'wh': 4247792, 'q': 129, 'k': 33024, 'b': 4325412, 'n': 6168, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 12039, 'wh': 4247792, 'q': 129, 'k': 33024, 'b': 4195364, 'n': 14352, 'r': 16962}",ka2a3,2,-2
"bl{'bl': 132879, 'wh': 4247792, 'q': 129, 'k': 33024, 'b': 4195364, 'n': 135192, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 134415, 'wh': 4247792, 'q': 129, 'k': 33024, 'b': 4195364, 'n': 6168, 'r': 147522}",qa1b2,2,-2
"bl{'bl': 69135, 'wh': 134271216, 'q': 129, 'k': 98304, 'b': 134218788, 'n': 6168, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 133903, 'wh': 134271216, 'q': 129, 'k': 33024, 'b': 134348836, 'n': 6168, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 12039, 'wh': 134271216, 'q': 129, 'k': 33024, 'b': 134218788, 'n': 14352, 'r': 16962}",ka2a3,2,-2
"bl{'bl': 132879, 'wh': 134271216, 'q': 129, 'k': 33024, 'b': 134218788, 'n': 135192, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 134415, 'wh': 134271216, 'q': 129, 'k': 33024, 'b': 134218788, 'n': 6168, 'r': 147522}",ka2a3,2,-2
"bl{'bl': 69135, 'wh': 2147537136, 'q': 129, 'k': 98304, 'b': 2147484708, 'n': 6168, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 133903, 'wh': 2147537136, 'q': 129, 'k': 33024, 'b': 2147614756, 'n': 6168, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 12039, 'wh': 2147537136, 'q': 129, 'k': 33024, 'b': 2147484708, 'n': 14352, 'r': 16962}",ka2a3,2,-2
"bl{'bl': 132879, 'wh': 2147537136, 'q': 129, 'k': 33024, 'b': 2147484708, 'n': 135192, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 134415, 'wh': 2147537136, 'q': 129, 'k': 33024, 'b': 2147484708, 'n': 6168, 'r': 147522}",qa1b2,2,-2
"bl{'bl': 134671, 'wh': 17179922672, 'q': 129, 'k': 163840, 'b': 17179870244, 'n': 6168, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 133903, 'wh': 17179922672, 'q': 129, 'k': 33024, 'b': 17180000292, 'n': 6168, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 12039, 'wh': 17179922672, 'q': 129, 'k': 33024, 'b': 17179870244, 'n': 14352, 'r': 16962}",ka2b3,2,-2
"bl{'bl': 132879, 'wh': 17179922672, 'q': 129, 'k': 33024, 'b': 17179870244, 'n': 135192, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 134415, 'wh': 17179922672, 'q': 129, 'k': 33024, 'b': 17179870244, 'n': 6168, 'r': 147522}",qa1b2,2,-2
"bl{'bl': 69135, 'wh': 2199023309040, 'q': 129, 'k': 98304, 'b': 2199023256612, 'n': 6168, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 133903, 'wh': 2199023309040, 'q': 129, 'k': 33024, 'b': 2199023386660, 'n': 6168, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 12039, 'wh': 2199023309040, 'q': 129, 'k': 33024, 'b': 2199023256612, 'n': 14352, 'r': 16962}",ka2a3,2,-2
"bl{'bl': 132879, 'wh': 2199023309040, 'q': 129, 'k': 33024, 'b': 2199023256612, 'n': 135192, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 134415, 'wh': 2199023309040, 'q': 129, 'k': 33024, 'b': 2199023256612, 'n': 6168, 'r': 147522}",qa1b2,2,-2
"bl{'bl': 69135, 'wh': 281474976764144, 'q': 129, 'k': 98304, 'b': 281474976711716, 'n': 6168, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 133903, 'wh': 281474976764144, 'q': 129, 'k': 33024, 'b': 281474976841764, 'n': 6168, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 12039, 'wh': 281474976764144, 'q': 129, 'k': 33024, 'b': 281474976711716, 'n': 14352, 'r': 16962}",ka2a3,2,-2
"bl{'bl': 132879, 'wh': 281474976764144, 'q': 129, 'k': 33024, 'b': 281474976711716, 'n': 135192, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 134415, 'wh': 281474976764144, 'q': 129, 'k': 33024, 'b': 281474976711716, 'n': 6168, 'r': 147522}",qa1b2,2,-2
"bl{'bl': 69135, 'wh': 585952, 'q': 129, 'k': 98304, 'b': 9252, 'n': 530440, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 133903, 'wh': 585952, 'q': 129, 'k': 33024, 'b': 139300, 'n': 530440, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 12039, 'wh': 577760, 'q': 129, 'k': 33024, 'b': 1060, 'n': 538624, 'r': 16962}",rb2b3,2,-2
"bl{'bl': 132879, 'wh': 585952, 'q': 129, 'k': 33024, 'b': 9252, 'n': 659464, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 134415, 'wh': 585952, 'q': 129, 'k': 33024, 'b': 9252, 'n': 530440, 'r': 147522}",bc2d3,2,-2
"bl{'bl': 69135, 'wh': 2158816, 'q': 129, 'k': 98304, 'b': 9252, 'n': 2103304, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 133903, 'wh': 2158816, 'q': 129, 'k': 33024, 'b': 139300, 'n': 2103304, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 12039, 'wh': 2150624, 'q': 129, 'k': 33024, 'b': 1060, 'n': 2111488, 'r': 16962}",ka2a3,2,-2
"bl{'bl': 132879, 'wh': 2158816, 'q': 129, 'k': 33024, 'b': 9252, 'n': 2232328, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 134415, 'wh': 2158816, 'q': 129, 'k': 33024, 'b': 9252, 'n': 2103304, 'r': 147522}",qa1b2,2,-2
"bl{'bl': 69135, 'wh': 4251888, 'q': 129, 'k': 98304, 'b': 9252, 'n': 4196376, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 133903, 'wh': 4251888, 'q': 129, 'k': 33024, 'b': 139300, 'n': 4196376, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 12039, 'wh': 4243696, 'q': 129, 'k': 33024, 'b': 1060, 'n': 4204560, 'r': 16962}",ka2a3,2,-2
"bl{'bl': 132879, 'wh': 4251888, 'q': 129, 'k': 33024, 'b': 9252, 'n': 4325400, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 134415, 'wh': 4251888, 'q': 129, 'k': 33024, 'b': 9252, 'n': 4196376, 'r': 147522}",qa1b2,2,-2
"bl{'bl': 69135, 'wh': 134275312, 'q': 129, 'k': 98304, 'b': 9252, 'n': 134219800, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 133903, 'wh': 134275312, 'q': 129, 'k': 33024, 'b': 139300, 'n': 134219800, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 12039, 'wh': 134267120, 'q': 129, 'k': 33024, 'b': 1060, 'n': 134227984, 'r': 16962}",ka2a3,2,-2
"bl{'bl': 132879, 'wh': 134275312, 'q': 129, 'k': 33024, 'b': 9252, 'n': 134348824, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 134415, 'wh': 134275312, 'q': 129, 'k': 33024, 'b': 9252, 'n': 134219800, 'r': 147522}",qa1b2,2,-2
"bl{'bl': 69135, 'wh': 536928496, 'q': 129, 'k': 98304, 'b': 9252, 'n': 536872984, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 133903, 'wh': 536928496, 'q': 129, 'k': 33024, 'b': 139300, 'n': 536872984, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 12039, 'wh': 536920304, 'q': 129, 'k': 33024, 'b': 1060, 'n': 536881168, 'r': 16962}",ka2a3,2,-2
"bl{'bl': 132879, 'wh': 536928496, 'q': 129, 'k': 33024, 'b': 9252, 'n': 537002008, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 134415, 'wh': 536928496, 'q': 129, 'k': 33024, 'b': 9252, 'n': 536872984, 'r': 147522}",qa1b2,2,-2
"bl{'bl': 133903, 'wh': 4239600, 'q': 129, 'k': 33024, 'b': 139300, 'n': 6168, 'r': 4194882}",nd1f2,2,2
"bl{'bl': 527119, 'wh': 4239600, 'q': 129, 'k': 33024, 'b': 532516, 'n': 6168, 'r': 4194882}",nd1f2,2,2
"bl{'bl': 16780047, 'wh': 4239600, 'q': 129, 'k': 33024, 'b': 16785444, 'n': 6168, 'r': 4194882}",nd1f2,2,2
"bl{'bl': 268438287, 'wh': 4239600, 'q': 129, 'k': 33024, 'b': 268443684, 'n': 6168, 'r': 4194882}",nd1f2,2,1
"bl{'bl': 137438956303, 'wh': 4239600, 'q': 129, 'k': 33024, 'b': 137438961700, 'n': 6168, 'r': 4194882}",nd1f2,2,-2
"bl{'bl': 12039, 'wh': 4231408, 'q': 129, 'k': 33024, 'b': 1060, 'n': 14352, 'r': 4194882}",rb2b3,2,-2
"bl{'bl': 132879, 'wh': 4239600, 'q': 129, 'k': 33024, 'b': 9252, 'n': 135192, 'r': 4194882}",nd1f2,2,-2
"bl{'bl': 134415, 'wh': 4239600, 'q': 129, 'k': 33024, 'b': 9252, 'n': 6168, 'r': 4325442}",qa1b2,2,-2
"bl{'bl': 69135, 'wh': 1073787120, 'q': 129, 'k': 98304, 'b': 9252, 'n': 6168, 'r': 1073742402}",nd1f2,2,0
"bl{'bl': 134671, 'wh': 1073787120, 'q': 129, 'k': 163840, 'b': 9252, 'n': 6168, 'r': 1073742402}",kb3a4,2,0
"bl{'bl': 133903, 'wh': 1073787120, 'q': 129, 'k': 33024, 'b': 139300, 'n': 6168, 'r': 1073742402}",nd1f2,2,0
"bl{'bl': 527119, 'wh': 1073787120, 'q': 129, 'k': 33024, 'b': 532516, 'n': 6168, 'r': 1073742402}",nd1f2,2,-1
"bl{'bl': 12039, 'wh': 1073778928, 'q': 129, 'k': 33024, 'b': 1060, 'n': 14352, 'r': 1073742402}",rb2b3,2,-2
"bl{'bl': 132879, 'wh': 1073787120, 'q': 129, 'k': 33024, 'b': 9252, 'n': 135192, 'r': 1073742402}",nd1f2,2,-2
"bl{'bl': 134415, 'wh': 1073787120, 'q': 129, 'k': 33024, 'b': 9252, 'n': 6168, 'r': 1073872962}",qa1b2,2,-2
"bl{'bl': 69135, 'wh': 274877952240, 'q': 129, 'k': 98304, 'b': 9252, 'n': 6168, 'r': 274877907522}",nd1f2,2,-2
"bl{'bl': 133903, 'wh': 274877952240, 'q': 129, 'k': 33024, 'b': 139300, 'n': 6168, 'r': 274877907522}",nd1f2,2,-2
"bl{'bl': 12039, 'wh': 274877944048, 'q': 129, 'k': 33024, 'b': 1060, 'n': 14352, 'r': 274877907522}",rb2b3,2,-2
"bl{'bl': 132879, 'wh': 274877952240, 'q': 129, 'k': 33024, 'b': 9252, 'n': 135192, 'r': 274877907522}",nd1f2,2,-2
"bl{'bl': 134415, 'wh': 274877952240, 'q': 129, 'k': 33024, 'b': 9252, 'n': 6168, 'r': 274878038082}",qa1b2,2,-2
"bl{'bl': 69135, 'wh': 70368744222960, 'q': 129, 'k': 98304, 'b': 9252, 'n': 6168, 'r': 70368744178242}",nd1f2,2,-2
"bl{'bl': 133903, 'wh': 70368744222960, 'q': 129, 'k': 33024, 'b': 139300, 'n': 6168, 'r': 70368744178242}",nd1f2,2,-2
"bl{'bl': 12039, 'wh': 70368744214768, 'q': 129, 'k': 33024, 'b': 1060, 'n': 14352, 'r': 70368744178242}",rb2b3,2,-2
"bl{'bl': 132879, 'wh': 70368744222960, 'q': 129, 'k': 33024, 'b': 9252, 'n': 135192, 'r': 70368744178242}",nd1f2,2,-2
"bl{'bl': 134415, 'wh': 70368744222960, 'q': 129, 'k': 33024, 'b': 9252, 'n': 6168, 'r': 70368744308802}",qa1b2,2,-2
"bl{'bl': 69135, 'wh': 18014398509527280, 'q': 129, 'k': 98304, 'b': 9252, 'n': 6168, 'r': 18014398509482562}",nd1f2,2,-2
"bl{'bl': 133903, 'wh': 18014398509527280, 'q': 129, 'k': 33024, 'b': 139300, 'n': 6168, 'r': 18014398509482562}",nd1f2,2,-2
"bl{'bl': 12039, 'wh': 18014398509519088, 'q': 129, 'k': 33024, 'b': 1060, 'n': 14352, 'r': 18014398509482562}",rb2b3,2,-2
"bl{'bl': 132879, 'wh': 18014398509527280, 'q': 129, 'k': 33024, 'b': 9252, 'n': 135192, 'r': 18014398509482562}",nd1f2,2,-2
"bl{'bl': 134415, 'wh': 18014398509527280, 'q': 129, 'k': 33024, 'b': 9252, 'n': 6168, 'r': 18014398509613122}",qa1b2,2,-2
"bl{'bl': 69135, 'wh': 4611686018427433200, 'q': 129, 'k': 98304, 'b': 9252, 'n': 6168, 'r': 4611686018427388482}",nd1f2,2,-2
"bl{'bl': 133903, 'wh': 4611686018427433200, 'q': 129, 'k': 33024, 'b': 139300, 'n': 6168, 'r': 4611686018427388482}",nd1f2,2,-2
"bl{'bl': 12039, 'wh': 4611686018427425008, 'q': 129, 'k': 33024, 'b': 1060, 'n': 14352, 'r': 4611686018427388482}",rb2b3,2,-2
"bl{'bl': 132879, 'wh': 4611686018427433200, 'q': 129, 'k': 33024, 'b': 9252, 'n': 135192, 'r': 4611686018427388482}",nd1f2,2,-2
"bl{'bl': 134415, 'wh': 4611686018427433200, 'q': 129, 'k': 33024, 'b': 9252, 'n': 6168, 'r': 4611686018427519042}",qa1b2,2,-2
"bl{'bl': 134671, 'wh': 4223216, 'q': 129, 'k': 4325376, 'b': 9252, 'n': 6168, 'r': 16962}",nd1f2,2,-3
"bl{'bl': 527119, 'wh': 4223216, 'q': 129, 'k': 4194560, 'b': 532516, 'n': 6168, 'r': 16962}",nd1f2,2,-3
"bl{'bl': 16780047, 'wh': 4223216, 'q': 129, 'k': 4194560, 'b': 16785444, 'n': 6168, 'r': 16962}",nd1f2,2,-3
"bl{'bl': 268438287, 'wh': 4223216, 'q': 129, 'k': 4194560, 'b': 268443684, 'n': 6168, 'r': 16962}",nd1f2,2,-3
"bl{'bl': 137438956303, 'wh': 4223216, 'q': 129, 'k': 4194560, 'b': 137438961700, 'n': 6168, 'r': 16962}",nd1f2,2,-3
"bl{'bl': 70368744180495, 'wh': 4223216, 'q': 129, 'k': 4194560, 'b': 70368744185892, 'n': 6168, 'r': 16962}",nd1f2,2,-3
"bl{'bl': 36028797018966799, 'wh': 4223216, 'q': 129, 'k': 4194560, 'b': 36028797018972196, 'n': 6168, 'r': 16962}",nd1f2,2,-3
"bl{'bl': 265991, 'wh': 4223216, 'q': 129, 'k': 4194560, 'b': 9252, 'n': 268304, 'r': 16962}",ka2a3,2,-3
"bl{'bl': 1052423, 'wh': 4223216, 'q': 129, 'k': 4194560, 'b': 9252, 'n': 1054736, 'r': 16962}",nd2f1,2,-3
"bl{'bl': 2098959, 'wh': 4223216, 'q': 129, 'k': 4194560, 'b': 9252, 'n': 2101272, 'r': 16962}",nd1f2,2,-3
"bl{'bl': 67110671, 'wh': 4223216, 'q': 129, 'k': 4194560, 'b': 9252, 'n': 67112984, 'r': 16962}",nd1f2,2,-3
"bl{'bl': 527119, 'wh': 8417520, 'q': 129, 'k': 8388864, 'b': 532516, 'n': 6168, 'r': 16962}",nd2f1,2,-2
"bl{'bl': 16780047, 'wh': 8417520, 'q': 129, 'k': 8388864, 'b': 16785444, 'n': 6168, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 268438287, 'wh': 8417520, 'q': 129, 'k': 8388864, 'b': 268443684, 'n': 6168, 'r': 16962}",be4h1,2,-2
"bl{'bl': 70368744180495, 'wh': 8417520, 'q': 129, 'k': 8388864, 'b': 70368744185892, 'n': 6168, 'r': 16962}",nd2f1,2,-2
"bl{'bl': 36028797018966799, 'wh': 8417520, 'q': 129, 'k': 8388864, 'b': 36028797018972196, 'n': 6168, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 1052423, 'wh': 8417520, 'q': 129, 'k': 8388864, 'b': 9252, 'n': 1054736, 'r': 16962}",nd2f1,2,-2
"bl{'bl': 132879, 'wh': 8417520, 'q': 129, 'k': 8388864, 'b': 9252, 'n': 135192, 'r': 16962}",nd1f2,2,-2
"bl{'bl': 2098959, 'wh': 8417520, 'q': 129, 'k': 8388864, 'b': 9252, 'n': 2101272, 'r': 16962}",ka2a3,2,-2
"bl{'bl': 67110671, 'wh': 8417520, 'q': 129, 'k': 8388864, 'b': 9252, 'n': 67112984, 'r': 16962}",ka2a3,2,-2
"bl{'bl': 268437263, 'wh': 8417520, 'q': 129, 'k': 8388864, 'b': 9252, 'n': 268439576, 'r': 16962}",ka2a3,2,-2
"bl{'bl': 264967, 'wh': 62688, 'q': 129, 'k': 33024, 'b': 8228, 'n': 269312, 'r': 16962}",rb2c2,2,0
"bl{'bl': 1051399, 'wh': 62688, 'q': 129, 'k': 33024, 'b': 8228, 'n': 1055744, 'r': 16962}",rb2c2,2,0
"bl{'bl': 67109647, 'wh': 62688, 'q': 129, 'k': 33024, 'b': 8228, 'n': 67113992, 'r': 16962}",nd1f2,2,0
"bl{'bl': 268436239, 'wh': 62688, 'q': 129, 'k': 33024, 'b': 8228, 'n': 268440584, 'r': 16962}",nd1f2,2,0
"bl{'bl': 16780047, 'wh': 1073787120, 'q': 129, 'k': 33024, 'b': 16785444, 'n': 6168, 'r': 1073742402}",nd1f2,2,-1
"bl{'bl': 268438287, 'wh': 1073787120, 'q': 129, 'k': 33024, 'b': 268443684, 'n': 6168, 'r': 1073742402}",nd1f2,2,-2
"bl{'bl': 4599054350, 'wh': 70369952137456, 'q': 128, 'k': 5368709120, 'b': 402653220, 'n': 2097176, 'r': 70368777732162}",ka5a4,3,26
"wh{'bl': 4596957198, 'wh': 70369954234480, 'q': 2097152, 'k': 5368709120, 'b': 402653220, 'n': 24, 'r': 70368777732162}",qf3e4,2,26
"wh{'bl': 4599054350, 'wh': 70369952153712, 'q': 16384, 'k': 5368709120, 'b': 402653220, 'n': 2097176, 'r': 70368777732162}",qg2f3,2,13
"wh{'bl': 4599054350, 'wh': 70369952170096, 'q': 32768, 'k': 5368709120, 'b': 402653220, 'n': 2097176, 'r': 70368777732162}",ne1c2,2,13
"wh{'bl': 4398315087884, 'wh': 72057594037977088, 'q': 8192, 'k': 4398046543872, 'b': 268435460, 'n': 18440, 'r': 72057594038059008}",kh2h1,3,-159
"bl{'bl': 562950221998092, 'wh': 72057594037977088, 'q': 8192, 'k': 562949953454080, 'b': 268435460, 'n': 18440, 'r': 72057594038059008}",kb7a8,2,-159
"bl{'bl': 4398315079724, 'wh': 72057594037977088, 'q': 32, 'k': 4398046543872, 'b': 268435460, 'n': 18440, 'r': 72057594038059008}",qf1e1,2,-72
"bl{'bl': 4398317176844, 'wh': 72057594037977088, 'q': 2097152, 'k': 4398046543872, 'b': 268435460, 'n': 18440, 'r': 72057594038059008}",qf3f1,2,-72
"bl{'bl': 4535754033164, 'wh': 72057594037977088, 'q': 137438953472, 'k': 4398046543872, 'b': 268435460, 'n': 18440, 'r': 72057594038059008}",qf5a5,2,-72
"bl{'bl': 39582687168524, 'wh': 72057594037977088, 'q': 35184372088832, 'k': 4398046543872, 'b': 268435460, 'n': 18440, 'r': 72057594038059008}",kc6b7,2,-72
"bl{'bl': 9011597569820684, 'wh': 72057594037977088, 'q': 9007199254740992, 'k': 4398046543872, 'b': 268435460, 'n': 18440, 'r': 72057594038059008}",rb3b8,2,-72
"bl{'bl': 2305847407528773644, 'wh': 72057594037977088, 'q': 2305843009213693952, 'k': 4398046543872, 'b': 268435460, 'n': 18440, 'r': 72057594038059008}",qf8f1,2,-72
"bl{'bl': 8858511372, 'wh': 72057594037977088, 'q': 8192, 'k': 8589967360, 'b': 268435460, 'n': 18440, 'r': 72057594038059008}",kb5a6,2,-72
"bl{'bl': 17448445964, 'wh': 72057594037977088, 'q': 8192, 'k': 17179901952, 'b': 268435460, 'n': 18440, 'r': 72057594038059008}",be4g2,2,-72
"bl{'bl': 34628315148, 'wh': 72057594037977088, 'q': 8192, 'k': 34359771136, 'b': 268435460, 'n': 18440, 'r': 72057594038059008}",be4g2,2,-72
"bl{'bl': 2199291832332, 'wh': 72057594037977088, 'q': 8192, 'k': 2199023288320, 'b': 268435460, 'n': 18440, 'r': 72057594038059008}",kb6a7,2,-84
"bl{'bl': 8796361598988, 'wh': 72057594037977088, 'q': 8192, 'k': 8796093054976, 'b': 268435460, 'n': 18440, 'r': 72057594038059008}",kd6c7,2,-84
